valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,sentiment
0.501,0.405,0.407,0.32,0.365,0
0.4976666666666666,0.427,0.4086666666666667,0.29,0.3783333333333333,0
0.4606,0.4397999999999999,0.421,0.3084,0.4065999999999999,0
0.498,0.4539999999999999,0.386,0.379,0.402,0
0.4588181818181818,0.4830909090909092,0.4069090909090909,0.2978181818181818,0.3952727272727273,0
0.5209999999999999,0.3964999999999999,0.407,0.3325,0.382,0
0.4853333333333333,0.4816666666666666,0.4033333333333333,0.3246666666666666,0.4406666666666667,0
0.5122500000000001,0.42725,0.425,0.3712499999999999,0.366,0
0.507,0.445,0.374,0.3475,0.3645,0
0.4772,0.4050000000000001,0.4,0.2875999999999999,0.4109999999999999,0
0.492,0.495,0.401,0.307,0.435,0
0.5139999999999999,0.459,0.4056666666666667,0.325,0.3676666666666666,0
0.4875,0.44025,0.44275,0.3515,0.44525,0
0.508,0.451,0.326,0.312,0.386,0
0.504,0.301,0.345,0.3429999999999999,0.357,0
0.506,0.351,0.3939999999999999,0.369,0.353,0
0.4673999999999999,0.4453,0.4080999999999999,0.292,0.4044,0
0.492,0.5380000000000001,0.4273333333333333,0.3693333333333333,0.4059999999999999,0
0.449,0.352,0.4385,0.285,0.3485,0
0.486,0.3896666666666666,0.408,0.3633333333333333,0.363,0
0.486,0.421,0.43,0.317,0.392,0
0.48675,0.45425,0.40525,0.31225,0.38525,0
0.496,0.397,0.4529999999999999,0.322,0.384,0
0.4589999999999999,0.415,0.3784999999999999,0.2804999999999999,0.3735,0
0.4591666666666668,0.4529166666666666,0.4174166666666666,0.3119166666666667,0.4080833333333333,0
0.525,0.4215,0.4054999999999999,0.3319999999999999,0.3545,0
0.4608333333333334,0.4413333333333333,0.4658333333333333,0.2965,0.393,0
0.49,0.57,0.481,0.355,0.435,0
0.519,0.354,0.389,0.361,0.36,0
0.485,0.434,0.414,0.291,0.391,0
0.482,0.431,0.465,0.263,0.484,0
0.491,0.402,0.4679999999999999,0.358,0.431,0
0.47625,0.4185,0.4282499999999999,0.294,0.3562499999999999,0
0.4615526315789475,0.4262105263157893,0.4200526315789473,0.2672894736842105,0.4162631578947368,0
0.5006666666666667,0.5253333333333333,0.422,0.3056666666666667,0.4216666666666667,0
0.482,0.442,0.396,0.31,0.4035,0
0.485,0.4579999999999999,0.428,0.294,0.425,0
0.51,0.376,0.4029999999999999,0.2769999999999999,0.396,0
0.4995,0.3725,0.4395,0.321,0.3575,0
0.43725,0.43725,0.391,0.30925,0.43075,0
0.4785,0.4535,0.428,0.355,0.3845,0
0.5103,0.4226,0.3756,0.3315,0.3848,0
0.5135000000000001,0.432,0.376,0.363,0.4004999999999999,0
0.50075,0.4605,0.39825,0.30975,0.4065,0
0.5133333333333333,0.4056666666666667,0.3473333333333333,0.3013333333333334,0.355,0
0.5206666666666666,0.417,0.3723333333333333,0.314,0.359,0
0.496,0.408,0.36,0.352,0.342,0
0.49,0.386,0.4029999999999999,0.304,0.392,0
0.4743333333333333,0.4473333333333333,0.3999999999999999,0.2789999999999999,0.4406666666666667,0
0.488,0.386,0.487,0.31,0.384,0
0.4675,0.422,0.473,0.2855,0.417,0
0.519,0.342,0.422,0.316,0.392,0
0.4804999999999999,0.491,0.4179999999999999,0.272,0.4054999999999999,0
0.493,0.4415,0.4609999999999999,0.283,0.4105,0
0.5132857142857143,0.477,0.39,0.3137142857142857,0.4044285714285714,0
0.494,0.386,0.3979999999999999,0.2769999999999999,0.337,0
0.4766666666666667,0.4356666666666666,0.4746666666666666,0.3063333333333333,0.3763333333333333,0
0.518,0.5479999999999999,0.431,0.408,0.423,0
0.4745,0.41,0.411,0.3015,0.3845,0
0.488,0.483,0.341,0.309,0.327,0
0.47,0.4828333333333334,0.4078333333333333,0.3298333333333333,0.441,0
0.4796,0.495,0.4062,0.315,0.3766,0
0.49775,0.37475,0.4305,0.3235,0.36725,0
0.46525,0.39175,0.4585,0.28175,0.3705,0
0.489,0.389,0.3829999999999999,0.337,0.416,0
0.4766,0.45,0.438,0.3168,0.4096,0
0.515,0.375,0.429,0.359,0.367,0
0.4909999999999999,0.4633333333333334,0.426,0.28,0.3879999999999999,0
0.504,0.4425,0.383,0.307,0.356,0
0.5,0.362,0.431,0.309,0.335,0
0.505,0.336,0.424,0.3929999999999999,0.344,0
0.5096,0.4144,0.3853999999999999,0.3378,0.3754,0
0.4539999999999999,0.4495,0.375,0.255,0.379,0
0.4871428571428571,0.4494285714285714,0.4268571428571429,0.3212857142857143,0.4045714285714286,0
0.505,0.421,0.39,0.357,0.372,0
0.467,0.4323333333333334,0.4196666666666666,0.2733333333333333,0.3783333333333333,0
0.4966666666666666,0.4684999999999999,0.3731666666666666,0.3028333333333333,0.3858333333333333,0
0.506,0.2739999999999999,0.4579999999999999,0.527,0.271,0
0.489,0.3998,0.374,0.302,0.3814,0
0.497,0.479,0.4529999999999999,0.314,0.431,0
0.51,0.382,0.375,0.413,0.359,0
0.5135000000000001,0.4225,0.3844999999999999,0.3755,0.405,0
0.46975,0.43025,0.467,0.32025,0.41725,0
0.5,0.355,0.39,0.33,0.349,0
0.4784,0.4138,0.42,0.3034,0.4098,0
0.507,0.381,0.386,0.252,0.344,0
0.51,0.361,0.431,0.358,0.39,0
0.496,0.428,0.422,0.311,0.416,0
0.4975,0.4599999999999999,0.4095,0.368,0.378,0
0.4811249999999999,0.4564375,0.420625,0.3098749999999999,0.3935,0
0.495,0.478,0.35,0.313,0.377,0
0.4558888888888888,0.432111111111111,0.4347777777777777,0.3087777777777777,0.4217777777777777,0
0.4623333333333333,0.3996666666666666,0.445,0.3233333333333333,0.3919999999999999,0
0.497,0.324,0.362,0.346,0.3379999999999999,0
0.499,0.408,0.363,0.3175,0.331,0
0.511,0.466,0.4039999999999999,0.282,0.361,0
0.4582727272727273,0.4637272727272727,0.4425,0.3174999999999999,0.4273181818181819,0
0.509,0.325,0.4,0.377,0.321,0
0.4896666666666667,0.3579999999999999,0.454,0.3253333333333333,0.3773333333333333,0
0.499,0.405,0.386,0.288,0.358,0
0.486,0.3979999999999999,0.435,0.3389999999999999,0.353,0
0.497,0.4547142857142857,0.37,0.3159999999999999,0.3894285714285714,0
0.506,0.506,0.359,0.262,0.362,0
0.47,0.358,0.4155,0.279,0.348,0
0.4983333333333333,0.4786666666666666,0.4053333333333333,0.3263333333333333,0.393,0
0.51,0.402,0.405,0.39,0.395,0
0.4755,0.4812499999999999,0.437,0.31275,0.41425,0
0.494,0.375,0.407,0.371,0.342,0
0.486,0.491,0.43,0.307,0.411,0
0.48,0.3985,0.4345,0.345,0.358,0
0.495,0.375,0.354,0.345,0.341,0
0.4553333333333333,0.418,0.4686666666666666,0.3226666666666666,0.3806666666666666,0
0.482,0.373,0.368,0.355,0.351,0
0.48,0.46,0.4379999999999999,0.345,0.392,0
0.5066666666666667,0.4053333333333334,0.3626666666666667,0.302,0.3536666666666667,0
0.4585,0.4024999999999999,0.4115,0.3125,0.3705,0
0.4886666666666666,0.452,0.3853333333333333,0.3066666666666667,0.3886666666666666,0
0.498,0.389,0.426,0.33,0.395,0
0.4909999999999999,0.458,0.3933333333333333,0.3016666666666666,0.4006666666666666,0
0.4702,0.3866,0.4012,0.2841999999999999,0.3970000000000001,0
